00000000  08 01 08 00 99 11 21 33  33 33 33 90 99 11 32 33  |......!3333...23|
00000010  33 33 33 90 19 11 32 33  33 33 33 90 99 11 32 33  |333...23333...23|
00000020  33 33 33 90 99 11 32 33  33 33 33 90 19 21 33 33  |333...23333..!33|
00000030  33 33 33 00 19 21 33 33  33 33 33 00 11 21 33 33  |333..!33333..!33|
00000040  33 33 33 10 11 32 33 33  33 33 33 11 21 33 33 33  |333..233333.!333|
00000050  33 33 33 11 32 33 33 33  33 33 33 44 33 33 33 33  |333.2333333D3333|
00000060  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000070  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000080  33 33 33 00 00 10 21 33  33 33 33 00 99 11 32 33  |333...!3333...23|
00000090  33 33 33 00 99 11 32 33  33 33 33 90 19 11 32 33  |333...23333...23|
000000a0  33 33 33 90 19 21 33 33  33 33 33 96 19 21 33 33  |333..!33333..!33|
000000b0  33 33 33 06 11 21 33 33  33 33 33 00 11 21 33 33  |333..!33333..!33|
000000c0  33 33 33 10 11 32 33 33  33 33 33 11 21 33 33 33  |333..233333.!333|
000000d0  33 33 33 11 32 33 33 33  33 33 33 44 33 33 33 33  |333.2333333D3333|
000000e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000000f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000100  33 33 33 00 00 10 21 33  33 33 33 00 00 11 32 33  |333...!3333...23|
00000110  33 33 33 00 00 11 32 33  33 33 33 00 19 11 32 33  |333...23333...23|
00000120  33 33 33 00 19 21 33 33  33 33 33 06 11 21 33 33  |333..!33333..!33|
00000130  33 33 33 06 11 21 33 33  33 33 33 16 11 82 33 33  |333..!33333...33|
00000140  33 33 33 16 11 32 33 33  33 33 33 11 21 33 33 33  |333..233333.!333|
00000150  33 33 33 11 32 33 33 33  33 33 33 34 33 33 33 33  |333.233333343333|
00000160  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000170  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000180  33 33 33 00 00 10 21 33  33 33 33 00 00 11 32 33  |333...!3333...23|
00000190  33 33 33 00 00 11 32 33  33 33 33 00 10 21 33 33  |333...23333..!33|
000001a0  33 33 33 00 10 21 33 33  33 33 33 06 10 21 33 33  |333..!33333..!33|
000001b0  33 33 33 16 11 32 33 33  33 33 33 16 11 32 33 33  |333..233333..233|
